D4 C3 B2 A1; pcap
78 56 34; pbt, pdt, pea, peb, pet, pgt, pict, pjt, pkt, pmt
45 4D 58 32; ez2
45 4D 55 33; ez3, iso
1B 4C 75 61; luac
62 6F 6F 6B 0 0 0 0; alias
6D 61 72 6B 0 0 0 0; alias
5B 5A 6F 6E 65 54 72 61; Identifier
6E 73 66 65 72 5D; Identifier
52 65 63 65 69 76 65 64; eml
3A; eml
20 2 1 62 A0 1E AB 7; tde
2 0 0 0; tde
37 48 3 2 0 0 0 0; kdb
58 35 30 39 4B 45 59; kdb
85 ?? ?? 3; pgp
28 B5 2F FD; zst
52 53 56 4B 44 41 54 41; rs
3A 29 A; sml
31 A 30 30; srt
34 12 AA 55; vpk
2A 2A 41 43 45 2A 2A; ace
60 EA; arj
49 53 63 28; cab
5A 4F 4F; zoo
50 31 A; pbm
50 32 A; pgm	
50 33 A; ppm
D7 CD C6 9A; wmf
67 69 6D 70 20 78 63 66; xcf
2F 2A 20 58 50 4D 20 2A; xpm
2F; xpm
41 46 46; aff
45 56 46 32; Ex01
45 56 46; e01
51 46 49; qcow
52 49 46 46 ?? ?? ?? ??; ani
41 43 4F 4E; ani
52 49 46 46 ?? ?? ?? ??; cda
43 44 44 41; cda
52 49 46 46 ?? ?? ?? ??; qcq
51 4C 43 4D; qcq
52 49 46 58 ?? ?? ?? ??; dcr
46 47 44 4D; dcr
58 46 49 52 ?? ?? ?? ??; dcr
4D 44 47 46; dcr
52 49 46 58 ?? ?? ?? ??; dir, dxr, drx
4D 56 39 33; dir, dxr, drx
58 46 49 52 ?? ?? ?? ??; dir, dxr, drx
33 39 56 4D; dir, dxr, drx
46 4C 56; flv
3C 3C 3C 20 4F 72 61 63; vdi
6C 65 20 56 4D 20 56 69; vdi
72 74 75 61 6C 42 6F 78; vdi
20 44 69 73 6B 20 49 6D; vdi
61 67 65 20 3E 3E 3E; vdi
63 6F 6E 6E 65 63 74 69; vhd
78; vhd
76 68 64 78 66 69 6C 65; vhdx
49 73 5A 21; isz
44 41 41; evt
50 4D 43 43; grp
4B 43 4D 53; icm
72 65 67 66; dat
21 42 44 4E; pst
44 52 41 43 4F; drc
47 52 49 42; grib, grib2
42 4C 45 4E 44 45 52; blend
0 0 0 C 4A 58 4C 20 D A 87 A; jxl
FF A; jxl
0 1 0 0 0; ttf, tte, dfont
4D 53 57 49 4D 0 0 0; wim, swm, esd
D0 0 0 0 0; wim, swm, esd
21 2D 31 53 4C 4F 42 1F; slob
